,importance
day_of_week,0.15685184074990313
oil_price,0.0773573643907003
day_of_month,0.06334168183375671
sales_lag21,0.06306627572428748
sales_lag16,0.05906089602409958
sales_window7_lag21,0.0586997663149585
sales_window17_lag363,0.058132467329221546
sales_lag363,0.052741148947534046
sales_window9_lag30,0.05268367571019377
onpromotion,0.05170940936135189
sales_window11_lag60,0.0461380773305126
sales_window13_lag90,0.041282175141589654
sales_window15_lag181,0.03914154138450059
month,0.03683068917221753
sales_lag30,0.028668632632649772
sales_lag60,0.02608980663441997
sales_lag90,0.025403733997027687
sales_lag181,0.024442809778310995
year,0.022088296167746404
Additional_National,0.012726331805311464
Holiday_National,0.005331803660451518
Event_National,0.0041888249605640995
Holiday_Local,0.00353519118895935
Transfer_National,0.00251621702024941
Holiday_Regional,0.0012223733894043973
Bridge_National,0.0008519451245124813
Additional_Local,0.0007694196622453921
Moved_National,0.00048780970376278385
Moved_Local,0.0003662451247707758
Transfer_Local,0.0003599568120625644
